2019-04-11T01:37:27.573 CONU9990 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.574 CONU9994 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.575 CONU9998 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.577 CONU9992 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.581 CONU9995 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.583 CONU9999 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.585 CONU9996 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.586 CONU9997 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.588 CONU9997 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:37:27.589 CONU9994 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.590 CONU9994 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:37:27.592 CONU9990 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.594 CONU9990 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:37:27.594 CONU9998 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.595 CONU9998 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:37:27.595 CONU9991 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.598 CONU9991 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:37:27.598 CONU9999 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.599 CONU9999 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:37:27.599 CONU9996 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.601 CONU9996 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:37:27.601 CONU9995 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.602 CONU9995 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:37:27.603 CONU9992 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.605 CONU9992 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:37:27.605 CONU9993 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:37:27.607 CONU9993 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:39:48.276 CONU9993 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.280 CONU9995 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.286 CONU9992 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.288 CONU9994 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.289 CONU9999 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.291 CONU9996 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.292 CONU9997 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.296 CONU9991 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.297 CONU9990 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.298 CONU9998 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.303 CONU9995 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.303 CONU9995 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:39:48.306 CONU9994 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.307 CONU9994 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:39:48.314 CONU9999 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.315 CONU9999 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:39:48.316 CONU9992 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.317 CONU9992 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:39:48.320 CONU9996 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:39:48.321 CONU9996 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
